id_reserva,id_cliente,nombre,apellido,mail,competencia,fecha_reserva,inicio_estancia,final_estancia,id_hotel,precio_noche,nombre_hotel,estrellas,ciudad
40c4cb55-d1f5-407b-832f-4756b8ff77b4,CL3,Maite,Calatayud,maite.calatayud@example.com,False,2025-02-09 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H211,119.96,Hotel Monte Verde,1.0,Madrid
f2ce8df5-7844-43e1-8c0f-97ce7a208f21,CL4,Tecla,Bonet,tecla.bonet@example.com,False,2025-02-08 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H201,211.53,Hotel Brisas del Mar,5.0,Madrid
57d4515a-447d-4067-afcb-9bdcf4e4e915,CL5,Amílcar,Andrés,amílcar.andrés@example.com,False,2025-02-02 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H202,378.37,Hotel Camino del Sol,1.0,Madrid
ccbd9fe9-5a60-4f6f-bed3-73a7158ecba7,CL6,Joan,Vazquez,joan.vazquez@example.com,False,2025-02-08 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H213,85.45,Hotel Puerta del Cielo,5.0,Madrid
99c3dc4f-663c-45f7-849a-ac9313f3746a,CL7,Chelo,Flor,chelo.flor@example.com,False,2025-02-09 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H204,309.8,Hotel Encanto Real,1.0,Madrid
a5da0906-0fe5-4c30-b193-863df67a7b84,CL9,Dolores,Lobo,dolores.lobo@example.com,False,2025-02-10 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H218,434.88,Palacio del Sol,4.0,Madrid
3eca014e-f122-41d7-9dd3-b984b9153d57,CL11,Noé,Lobo,noé.lobo@example.com,False,2025-02-02 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H205,216.57,Hotel Jardines del Rey,3.0,Madrid
8a68fb77-8798-4902-a92d-642ea5e47083,CL14,Omar,Lamas,omar.lamas@example.com,False,2025-02-10 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H206,378.1,Hotel Las Estrellas,4.0,Madrid
5e3de36b-3d2f-4cef-98d3-df826c56a4b1,CL16,Ágata,Pinedo,ágata.pinedo@example.com,False,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H200,358.07,Gran Hotel Madrid,2.0,Madrid
2a39eb83-b3aa-4df0-93b3-1fdc0b0a9609,CL18,Julie,Baños,julie.baños@example.com,False,2025-02-01 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H216,79.77,Hotel Torre Dorada,3.0,Madrid
96a3727c-99fb-4ae0-a6c3-886504499ec2,CL19,Javier,Mancebo,javier.mancebo@example.com,False,2025-02-12 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H212,228.02,Hotel Palacio Imperial,2.0,Madrid
18fa5887-c155-4064-ba8d-3b2948dd348b,CL20,Rita,Guerrero,rita.guerrero@example.com,False,2025-02-11 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H202,385.24,Hotel Camino del Sol,3.0,Madrid
9880f3ea-a29d-4acd-9fe1-96df1ffa46bd,CL21,Ricardo,Lobo,ricardo.lobo@example.com,False,2025-02-06 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H208,454.01,Hotel Luz de Madrid,3.0,Madrid
22a3608a-1de2-40c7-8e2a-d22daf77390f,CL22,Perlita,Patiño,perlita.patiño@example.com,False,2025-02-02 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H204,279.28,Hotel Encanto Real,1.0,Madrid
68b36da9-eeaa-4c31-91a8-d34fcc3956c8,CL23,Pedro,Gallego,pedro.gallego@example.com,False,2025-02-09 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H207,332.34,Hotel Los Almendros,5.0,Madrid
b92dbe7c-4660-4e4c-9224-47cae0152bf9,CL24,Judith,Bellido,judith.bellido@example.com,False,2025-02-08 00:00:00,2025-03-01 00:00:00,2025-03-02 00:00:00,H212,318.14,Hotel Palacio Imperial,5.0,Madrid
